	Lead Result	Lead Result	Lead Result	Lead Result	Lead Result
	min	max	mean	count	count_above_5
LewisElementaryDOWNEYCITYWATERDEPT	5.0	5.0	5.0	3	0.0
LewisMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LexingtonElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
LibbyElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
LibertyHighAlternativeSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
LibertyHighBAKERSFIELDCITYOF	5.0	5.0	5.0	5	0.0
LibertyMiddleLEMOORECITYOF	5.0	5.0	5.0	5	0.0
LichenK8CALAMLINCOLNOAKS	5.0	5.0	5.0	5	0.0
LilacVALLEYCENTERMWD	5.0	5.0	5.0	2	0.0
LilienthalClaireK2MadisonCampusSFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
LincolnAcresSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
LincolnElementaryALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	4	0.0
LincolnElementaryCWSCSALINAS	5.0	5.0	5.0	5	0.0
LincolnElementaryEASTBAYMUD	5.0	5.0	5.0	10	0.0
LincolnElementaryELCENTROCITYOF	5.0	5.0	5.0	5	0.0
LincolnHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LincolnMiddleEASTBAYMUD	5.0	5.0	5.0	6	0.0
LincolnMiddleOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
LincolnMiddleSANTAMONICACITYWATERDIVISION	1.1	5.0	3.1500000000000004	4	0.0
LindaVistaElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LindberghSchweitzerElementaryEastSANDIEGOCITYOF	5.0	7.98	5.596	5	1.0
LindberghSchweitzerElementaryWestSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LindoParkElementaryLAKESIDEWD	5.0	6.1	5.366666666666667	3	1.0
LiteracyFirstCharterHELIXWATERDISTRICT	5.0	5.0	5.0	2	0.0
LiteracyFirstCharterSchoolJrAcademyHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
LiteracyFirstCharterSchoolLibertyAcademyHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
LiteracyFirstCharterSchoolLibertyHighSchoolHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
LloydGJohnsonJuniorHighARBUCKLEPUBLICUTILITYDISTRICT	5.0	5.0	5.0	2	0.0
LoganK8SANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LomaPortalElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LomaVerdeElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
LomaVistaElementaryCWSCSALINAS	5.0	5.0	5.0	4	0.0
LongBarnHighLONGBARNPROPERTYOWNERS	5.0	5.0	5.0	3	0.0
LongfellowElementaryCWSBAKERSFIELD	5.0	5.0	5.0	3	0.0
LongfellowHenryWElementaryPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
LongfellowK8SANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LorenzoManorElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
LosAlamitosElementaryGOLDENSTATEWCWESTORANGE	5.0	5.0	5.0	5	0.0
LosAlamitosElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
LosAlamitosHighGOLDENSTATEWCWESTORANGE	5.0	5.0	5.0	5	0.0
LosAltosElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LosAmigosElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
LosArbolesMiddleMARINACOASTWATERDISTRICT	2.5	4.0	3.0	3	0.0
LosCochesCreekMiddlePADREDAMMWD	5.0	5.0	5.0	5	0.0
LosPadresElementaryCWSCSALINAS	5.0	5.0	5.0	5	0.0
LosPeralesElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
LouisPasteurFundamentalMiddleORANGEVALEWATERCOMPANY	5.0	5.0	5.0	5	0.0
LouiseSandriniElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
LovonyaDeJeanMiddleEASTBAYMUD	5.0	5.0	5.0	5	0.0
LowellElementarySANJOSEWATERCOMPANY	5.0	11.0	6.2	5	1.0
LuigiApreaElementaryCITYOFGILROY	5.0	5.0	5.0	3	0.0
LupineHillsElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
LutherBurbankHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
LutherBurbankMiddleBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
LyleSBriggsFundamentalMONTEVISTACWD	5.0	5.0	5.0	5	0.0
LynbrookHighSANJOSEWATERCOMPANY	0.0	5.0	3.0	5	0.0
LynhavenElementarySANJOSEWATERCOMPANY	0.12	6.0	2.4299999999999997	5	1.0
MAACCommunityCharterSWEETWATERAUTHORITY	5.0	5.0	5.0	2	0.0
MacGregorHighContinuationEASTBAYMUD	5.0	5.0	5.0	5	0.0
MaderaElementaryVENTURAWWDNO8SIMIVALLEY	5.0	5.0	5.0	3	0.0
MadisonAvenueElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
MadisonElementarySACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
MadisonHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MadisonMiddleOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
MaeolaEBeitzelElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
MagnoliaElementaryCARLSBADMWD	5.0	5.7	5.14	5	1.0
MagnoliaElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
MagnoliaParkBURBANKCITYWATERDEPT	5.0	5.0	5.0	3	0.0
MajorGeneralRaymondMurrayHighVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	3	0.0
MalcolmXAcademySFPUCCITYDISTRIBUTIONDIVISION	5.0	17.6	8.966666666666667	6	2.0
MalibuHighLOSANGELESCOWWDISTRICT2980MALIB	5.0	5.0	5.0	5	0.0
MannMiddleSANDIEGOCITYOF	5.0	9.31	6.258	5	2.0
ManzanitaCommunityEASTBAYMUD	5.0	5.0	5.0	5	0.0
MarVistaSeniorHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MaranathaChristianSchoolOLIVENHAINMWD	5.0	5.0	5.0	5	0.0
MarcySchoolSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MardanSchoolofEducationalTherapyIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
MargaretHedrickElementaryELCENTROCITYOF	5.0	5.0	5.0	5	0.0
MargaretPaulineBrownElementaryCITYOFDALYCITY	5.0	29.0	11.571428571428571	7	3.0
MargueritaElementaryCITYOFALHAMBRA	5.0	6.1	5.220000000000001	5	1.0
MargueriteMontgomeryElementaryCITYOFDAVIS	5.0	5.0	5.0	5	0.0
MarianaAcademyGOLDENSTATEWATERCOAPPLEVLYSOUTH	5.0	5.0	5.0	5	0.0
MaricopaElementaryWESTKERNWATERDISTRICT	5.0	5.0	5.0	3	0.0
MaricopaHighWESTKERNWATERDISTRICT	5.0	5.08	5.026666666666666	3	1.0
MaricopaMiddleWESTKERNWATERDISTRICT	5.0	5.0	5.0	2	0.0
MarinElementaryEASTBAYMUD	5.0	5.0	5.0	4	0.0
MarinaChildrensCenterMARINACOASTWATERDISTRICT	2.5	3.0	2.75	2	0.0
MarinaHighMARINACOASTWATERDISTRICT	2.5	3.0	2.6	5	0.0
MarinaVistaElementaryMARINACOASTWATERDISTRICT	2.5	5.0	3.125	4	0.0
MarionMixElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
MariposaAvenueElementaryCITRUSHEIGHTSWATERDISTRICT	5.0	5.0	5.0	5	0.0
MariposaCountyHighMARIPOSAPUBLICUTILITYDIST	5.0	5.0	5.0	5	0.0
MariposaElementaryCITYOFBREA	5.0	5.0	5.0	5	0.0
MariposaElementaryMARIPOSAPUBLICUTILITYDIST	5.0	5.0	5.0	4	0.0
MarjorieHTobiasElementaryCITYOFDALYCITY	5.0	15.0	8.216666666666667	6	3.0
MarjorieVeehElementaryCITYOFTUSTIN	5.0	5.0	5.0	5	0.0
MarkKeppelHighCITYOFALHAMBRA	5.0	5.0	5.0	5	0.0
MarkTwainElementaryANGELSCITYOF	5.0	5.0	5.0	5	0.0
MarkTwainElementaryCITYOFSACRAMENTOMAIN	5.0	21.1	7.3	7	1.0
MarkWestCharterCALIFORNIAAMERICANLARKFIELDPUC	5.0	5.0	5.0	4	0.0
MarkWestElementaryCALIFORNIAAMERICANLARKFIELDPUC	5.0	5.0	5.0	5	0.0
MarkhamElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
MarshallElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MarshallElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
MarshallFundamentalPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
MarshallLaneElementarySANJOSEWATERCOMPANY	0.23	5.0	1.27	5	0.0
MarshallMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MarstonMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MarthaBaldwinElementaryCITYOFALHAMBRA	5.0	5.0	5.0	5	0.0
MartinLutherKingJrCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
MartinLutherKingJrElementaryEASTBAYMUD	5.0	5.0	5.0	10	0.0
MartinLutherKingJrElementaryELCENTROCITYOF	5.0	5.0	5.0	5	0.0
MartinLutherKingJrMiddleOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
MartinLutherKingJrTechnologyAcademyCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
MarvinElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MarvinMarshallPreschoolandChildrensCenterCARMICHAELWATERDISTRICT	5.0	5.0	5.0	5	0.0
MaryBLewisElementarySANGABRIELVALLEYWCFONTANA	5.0	5.0	5.0	5	0.0
MaryDeterdingElementaryCARMICHAELWATERDISTRICT	5.0	5.0	5.0	5	0.0
MaryESilveiraElementaryMARINMUNICIPALWATERDISTRICT	5.0	5.0	5.0	4	0.0
MaryFayPendletonElementaryCAMPPENDLETONSOUTH	5.0	6.18	5.236	5	1.0
MaryTsukamotoElementaryCALAMPARKWAY	5.0	5.0	5.0	5	0.0
MarylandAvenueElementaryHELIXWATERDISTRICT	5.0	13.0	7.666666666666667	3	1.0
MarylandElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	4	0.0
MasonElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MatsuyamaElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
MayaLinEASTBAYMUD	5.0	5.0	5.0	5	0.0
MaywoodMiddleSchoolCITYOFCORNING	5.0	5.0	5.0	2	0.0
McClymondsHighEASTBAYMUD	5.0	7.4	5.4799999999999995	5	1.0
McCoppinFrankElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
McKevettElementarySANTAPAULAWATERSYSTEM	5.0	5.0	5.0	5	0.0
McKinleyElementaryCITYOFSUSANVILLE	5.0	5.0	5.0	5	0.0
McKinleyElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
McKinleyElementaryELCENTROCITYOF	5.0	5.0	5.0	5	0.0
McKinleyElementarySANDIEGOCITYOF	5.0	12.9	7.714	5	3.0
McKinleyElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
McKinleyElementarySANTAMONICACITYWATERDIVISION	1.1	5.0	4.220000000000001	5	0.0
McKinleyElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
McKinnonCWSCSALINAS	5.0	5.0	5.0	5	0.0
MeadowLaneElementaryLEMOORECITYOF	5.0	5.3	5.0600000000000005	5	1.0
MeadowParkElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	4	0.0
MeadowbrookMiddlePOWAYCITYOF	5.0	5.0	5.0	5	0.0
MeganCopeElementaryEASTERNMUNICIPALWD	5.0	5.0	5.0	5	0.0
MeinersOaksElementaryMEINERSOAKSCWD	5.0	20.4	8.08	5	1.0
MemorialScholarsAthletesSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MenloAthertonHighCALIFORNIAWATERSERVICEBEARGULCH	5.0	5.0	5.0	5	0.0
MeridianElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
MerrittTraceElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
MesaVerdeHighCITRUSHEIGHTSWATERDISTRICT	5.0	5.0	5.0	5	0.0
MesaViewMiddleYUCAIPAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
MichaelDArcyElementarySANGABRIELVALLEYWCFONTANA	5.0	5.0	5.0	5	0.0
MichaelJCastoriElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
MidlandElementaryPOWAYCITYOF	5.0	5.0	5.0	5	0.0
MilesPRichmondSACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
MilkHarveyCivilRightsElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
MillennialTechMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MillenniumHighAlternativeEASTBAYMUD	5.0	5.0	5.0	4	0.0
MillerCreekMiddleMARINMUNICIPALWATERDISTRICT	5.0	5.0	5.0	5	0.0
MillerElementaryRINCONDELDIABLOMWDID1	5.0	5.0	5.0	5	0.0
MillerElementarySANDIEGOCITYOF	5.0	5.37	5.074	5	1.0
MiraMesaHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MiraMonteElementaryCASITASMUNICIPALWATERDIST	5.0	5.0	5.0	5	0.0
MiraMonteHighEASTNILESCSD	1.0	1.6	1.14	5	0.0
MiralomaElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
MiramarRanchElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MiramonteHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
MissionBayHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MissionBayMontessoriAcademySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MissionEducationCenterSFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
MissionElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
MissionHillsHighVALLECITOSWD	5.0	5.0	5.0	5	0.0
MissionMeadowsElementaryOCEANSIDECITYOF	5.0	5.0	5.0	4	0.0
MissionParkElementaryCWSCSALINAS	5.0	5.2	5.04	5	1.0
MissionVistaHighOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
MonarchAcademyMARIPOSAPUBLICUTILITYDIST	5.0	5.0	5.0	3	0.0
MonroeElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
MonroeMiddleSANJOSEWATERCOMPANY	0.094	2.9	1.3088	5	0.0
MontaVistaHighCITYOFCUPERTINO	0.0	5.0	2.0	5	0.0
MontalvinManorElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
MonteVistaElementaryVISTAIRRIGATIONDISTRICT	5.0	5.9	5.3	3	1.0
MonteVistaHighOTAYWATERDISTRICT	5.0	5.0	5.0	5	0.0
MonteVistaMiddleSUBURBANWATERSYSTEMSWHITTIER	5.0	11.0	6.2	5	1.0
MonteVistaVENTURAWWDNO8SIMIVALLEY	5.0	11.0	7.0	3	1.0
MontereyHeightsElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
MontereyHighCALAMWATERCOMPANYMONTEREY	5.0	6.0	5.2	5	1.0
MontereyHighContinuationBURBANKCITYWATERDEPT	5.0	5.0	5.0	3	0.0
MontereyParkElementaryCWSCSALINAS	5.0	7.9	5.88	5	3.0
MontereyTrailHighSCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
MontessoriChildrensHouseofShadyOaksCITYOFREDDING	5.0	5.0	5.0	5	0.0
MontessoriCountryDayCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
MontessoriProjectOrangevalecampusORANGEVALEWATERCOMPANY	5.0	5.0	5.0	5	0.0
MontgomeryJohnJElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
MontgomeryMiddleHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
MontgomeryMiddleSANDIEGOCITYOF	5.0	7.43	5.433	10	2.0
MoreyAvenueEarlyChildhoodDevelopmentCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
MorrillMiddleSANJOSEWATERCOMPANY	5.0	6.0	5.2	5	1.0
MorseHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MosconeGeorgeRElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
MoundElementaryVENTURAWATERDEPARTMENT	5.0	5.0	5.0	5	0.0
MountMiguelHighHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
MountainViewElementaryGOLETAWATERDISRICT	5.0	5.0	5.0	5	0.0
MountainViewHighContinuationBURNEYWATERDISTRICT	5.0	5.0	5.0	1	0.0
MountainViewLearningAcademyPADREDAMMWD	5.0	5.66	5.132	5	1.0
MtBurneySpecialEducationCenterBURNEYWATERDISTRICT	5.0	5.0	5.0	2	0.0
MtEdenHighCITYOFHAYWARD	5.0	5.0	5.0	5	0.0
MtEverestAcademySANDIEGOCITYOF	5.0	8.88	5.776000000000001	5	1.0
MtHelixAcademyHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
MtMadonnaHighCITYOFGILROY	5.0	5.0	5.0	2	0.0
MtPleasantHighSANJOSEWATERCOMPANY	0.14	5.0	2.216	5	0.0
MtShastaElementaryMTSHASTACITYOF	5.0	5.0	5.0	5	0.0
MtShastaHighMTSHASTACITYOF	5.0	8.6	5.720000000000001	5	1.0
MtVernonElementaryCWSBAKERSFIELD	5.0	5.0	5.0	2	0.0
MtVernonElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
MuellerCharterRobertLSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
MuirJohnElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
MuirlandsMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
MulberryElementarySUBURBANWATERSYSTEMSWHITTIER	5.0	5.0	5.0	4	0.0
MulticulturalLearningCenterLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	5	0.0
MunseyElementaryCWSBAKERSFIELD	5.0	5.0	5.0	3	0.0
MurdockElementaryCALWATERSERVICECOWILLOWS	5.0	5.0	5.0	5	0.0
MurdockElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
MurphyElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
MurrayManorElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
MurwoodElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
MyraANobleElementaryCWSBAKERSFIELD	5.0	5.0	5.0	3	0.0
NarancaElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
NationalCityMiddleSWEETWATERAUTHORITY	5.0	6.49	5.298	5	1.0
NationalUniversityAcademyHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
NatividadElementaryCWSCSALINAS	5.0	5.4	5.08	5	1.0
NeaCommunityLearningCenterEASTBAYMUD	5.0	5.0	5.0	5	0.0
NestorLanguageAcademyCharterCALAMWATERCORONADO	5.0	9.3	5.9399999999999995	5	2.0
NewJosephBonnheimNJBCommunityCharterCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
NewRepublicElementaryCWSCSALINAS	5.0	5.0	5.0	5	0.0
NewTechnologyHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	3	0.0
NewTraditionsElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
NewarkJuniorHighALAMEDACOUNTYWATERDISTRICT	5.0	7.655	5.9602	5	3.0
NewarkMemorialHighALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	5	0.0
NewmanElementaryMONTEVISTACWD	5.0	5.0	5.0	10	0.0
NicholasElementaryFRUITRIDGEVISTAWATERCOMPANY	5.0	5.0	5.0	5	0.0
NicholsElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
NoraltoElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
NordhoffHighCASITASMUNICIPALWATERDIST	5.0	5.0	5.0	5	0.0
NormalHeightsElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
NorrisElementaryCWSNORTHGARDEN	5.0	5.0	5.0	4	0.0
NorrisMiddleCWSNORTHGARDEN	5.0	5.0	5.0	5	0.0
NorthBroadwayElementaryRINCONDELDIABLOMWDID1	5.0	5.0	5.0	5	0.0
NorthDavisElementaryCITYOFDAVIS	5.0	5.0	5.0	5	0.0
NorthHillsboroughHILLSBOROUGHWATERDEPT	5.0	5.0	5.0	4	0.0
NorthMountainMiddleEASTERNMUNICIPALWD	5.0	5.0	5.0	5	0.0
NorthShoreElementaryDWPBIGBEARLAKEMOONRIDGE	5.0	5.0	5.0	5	0.0
NorthTerraceElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
NorthmontElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
NorthridgeElementaryFAIROAKSWATERDISTRICT	5.0	5.0	5.0	5	0.0
NorthwoodElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
NorthwoodElementaryIRVINERANCHWATERDISTRICT	5.0	7.17	5.434	5	1.0
NorthwoodHighIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
NorwoodJuniorHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
NovaOpportunityCITYOFSACRAMENTOMAIN	5.0	8.9	5.779999999999999	5	1.0
NuevaContinuationHighLAMONTPUBLICUTILITYDIST	1.0	1.5	1.25	2	0.0
NutritionCenterEASTBAYMUD	5.0	5.0	5.0	5	0.0
NyeElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
NystromElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
OConnellJohnHighSFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
OJActisJuniorHighBAKERSFIELDCITYOF	5.0	5.0	5.0	4	0.0
OWErlewineElementaryCALAMSUBURBAN	5.0	5.0	5.0	5	0.0
OakCreekElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
OakGlenHighVALLEYCENTERMWD	5.0	5.0	5.0	2	0.0
OakHillElementaryESCONDIDOCITYOF	5.0	5.0	5.0	5	0.0
OakMesaElementaryLAVERNECITYWD	5.0	5.0	5.0	5	0.0
OakMiddleGOLDENSTATEWCWESTORANGE	5.0	5.0	5.0	5	0.0
OakParkElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
OakParkPreparatoryAcademyCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
OakRidgeElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
OakViewHighSchoolEducationCenterYUCAIPAVALLEYWATERDISTRICT	5.0	6.6	5.340000000000001	10	3.0
OakdaleElementarySACRAMENTOSUBURBANWATERDISTRICT	5.0	16.0	6.833333333333333	6	1.0
OakmontHighCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
OakviewCommunityElementaryCITRUSHEIGHTSWATERDISTRICT	5.0	5.0	5.0	5	0.0
OceanAirSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
OceanBeachElementarySANDIEGOCITYOF	5.0	5.31	5.061999999999999	5	1.0
OceanShoresHighContinuationOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
OceanViewElementaryARROYOGRANDEWATERDEPARTMENT	5.0	5.0	5.0	5	0.0
OceanViewElementaryEASTBAYMUD	5.0	16.0	7.2	5	1.0
OceansideHighOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
OdysseyCharterPASADENACITYWATERDEPT	5.0	5.3	5.05	6	1.0
OhloneElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
OldRiverElementaryBAKERSFIELDCITYOF	5.0	5.0	5.0	5	0.0
OldRiverElementaryDOWNEYCITYWATERDEPT	5.0	5.0	5.0	3	0.0
OlindaElementaryCITYOFBREA	5.0	5.0	5.0	5	0.0
OlindaElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
OliveDriveElementaryCWSNORTHGARDEN	5.0	5.0	5.0	5	0.0
OliveElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	2	0.0
OliveViewElementaryCITYOFCORNING	5.0	5.0	5.0	3	0.0
OliverWendellHolmesJuniorHighCITYOFDAVIS	5.0	5.0	5.0	5	0.0
OlivewoodSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
OlympicHighContinuationSANTAMONICACITYWATERDIVISION	5.0	5.0	5.0	2	0.0
OneontaElementaryCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
OpportunitySchoolBAKERSFIELDCITYOF	5.0	5.0	5.0	2	0.0
OptionsSecondarySWEETWATERAUTHORITY	5.0	5.0	5.0	2	0.0
OrangevaleOpenK8FAIROAKSWATERDISTRICT	5.0	5.0	5.0	5	0.0
OrangewoodElementaryEASTNILESCSD	5.0	5.0	5.0	5	0.0
OrangewoodElementarySUBURBANWATERSYSTEMSSANJOSE	5.0	5.0	5.0	5	0.0
OrchardDaleElementarySUBURBANWATERSYSTEMSWHITTIER	5.0	26.0	11.057142857142859	7	3.0
OrchardElementaryRIOLINDAELVERTACOMMUNITYWATERDIST	5.0	5.0	5.0	5	0.0
OrchardElementarySANJOSEWATERCOMPANY	0.11	1.2	0.392	5	0.0
OrchardRanchElementaryCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
OrdTerraceElementaryCALAMWATERCOMPANYMONTEREY	2.5	2.5	2.5	3	0.0
OrindaIntermediateEASTBAYMUD	5.0	5.0	5.0	5	0.0
OrtegaJoseElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
OtayElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
OttomonWayElementaryORANGEVALEWATERCOMPANY	5.0	5.0	5.0	5	0.0
OurLadyofFatimaGSWCARTESIA	5.0	5.0	5.0	5	0.0
OurLadyofGraceSchoolHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
PRIDEAcademyatProspectAvenuePADREDAMMWD	5.0	5.0	5.0	5	0.0
PS1PluralisticSchoolSANTAMONICACITYWATERDIVISION	5.0	5.0	5.0	5	0.0
PWEngvallElementaryLEMOORECITYOF	5.0	13.0	6.6	5	1.0
PacificBeachElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
PacificBeachMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
PacificCareerandTechnologyHighSACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	3	0.0
PacificElementaryFRUITRIDGEVISTAWATERCOMPANY	5.0	5.0	5.0	5	0.0
PacificViewLeadershipElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
PaintedRockElementaryPOWAYCITYOF	5.0	5.0	5.0	5	0.0
PalmAcademyforLearningCALAMWATERCORONADO	5.0	5.0	5.0	3	0.0
