	Lead Result	Lead Result	Lead Result	Lead Result	Lead Result
	min	max	mean	count	count_above_5
BreenElementaryPLACERCWAFOOTHILL	5.0	5.0	5.0	5	0.0
BreezeHillElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	3	0.0
BretHarteElementaryBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
BretHarteElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
BretHarteMiddleSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
BretHarteUnionHighANGELSCITYOF	5.0	5.0	5.0	6	0.0
BridgepointHighContinuationALAMEDACOUNTYWATERDISTRICT	5.0	9.112	5.8224	5	1.0
BridgesAcademyEASTBAYMUD	5.0	5.0	5.0	5	0.0
BridgesAcademyLEMOORECITYOF	5.0	5.0	5.0	2	0.0
BrittanAcresElementaryCALIFORNIAWATERSERVICESANCARLOS	5.0	5.0	5.0	4	0.0
BroadwayHighSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
BrookKnollElementarySANTACRUZWATERDEPARTMENT	5.0	5.0	5.0	5	0.0
BrookfieldElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
BrooksideElementaryWILLITSCITYOF	5.0	5.1	5.0200000000000005	5	1.0
BrownellMiddleCITYOFGILROY	5.0	5.0	5.0	3	0.0
BryantElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	11.7	6.516	5	3.0
BrywoodElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
BuenaParkHighCITYOFFULLERTON	5.0	5.0	5.0	5	0.0
BuenaVistaElementaryBAKERSFIELDCITYOF	5.0	5.0	5.0	3	0.0
BuenaVistaElementaryCARLSBADMWD	5.0	5.0	5.0	5	0.0
BuenaVistaElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
BuenaVistaMiddleCWSCSALINASHILLS	5.0	5.0	5.0	5	0.0
BurbankAdultBURBANKCITYWATERDEPT	5.0	6.4	5.279999999999999	5	1.0
BurbankElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BurbankHighBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
BurbankUSDCommunityDayBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
BurbankUnifiedIndependentLearningAcademyBUILABURBANKCITYWATERDEPT	5.0	5.0	5.0	2	0.0
BurckhalterElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
BurneyCommunityDayBURNEYWATERDISTRICT	5.0	5.0	5.0	4	0.0
BurneyElementaryBURNEYWATERDISTRICT	5.0	5.3	5.0600000000000005	5	1.0
BurneyJuniorSeniorHighBURNEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
BurroughsHighBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
BusinessLearningAcademyCALIFORNIAWATERSERVICESTOCKTON	5.0	5.0	5.0	1	0.0
CEUttMiddleCITYOFTUSTIN	5.0	5.0	5.0	4	0.0
CKMcClatchyHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
CabrilloElementarySANDIEGOCITYOF	5.0	8.69	5.7379999999999995	5	1.0
CadmanElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CajonParkElementaryPADREDAMMWD	5.0	6.0	5.2	5	1.0
CajonValleyCommunityDayHELIXWATERDISTRICT	5.0	5.0	5.0	1	0.0
CajonValleyMiddleHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
CalebGreenwoodElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	3	0.0
CaliberBetaAcademyEASTBAYMUD	5.0	5.0	5.0	5	0.0
CaliforniaAvenueElementaryVISTAIRRIGATIONDISTRICT	5.0	6.8	5.9	2	1.0
CaliforniaHighSUBURBANWATERSYSTEMSWHITTIER	5.0	5.0	5.0	5	0.0
CaliforniaMiddleCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
CaliforniaMontessoriProjectCapitolCampusCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
CaliforniaMontessoriProjectSanJuanCampusCALAMLINCOLNOAKS	5.0	5.0	5.0	5	0.0
CaliforniaSchoolfortheBlindALAMEDACOUNTYWATERDISTRICT	5.0	28.153	13.60588888888889	9	7.0
CaliforniaSchoolfortheDeafFremontALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	5	0.0
CalvineHighCALAMPARKWAY	5.0	5.0	5.0	2	0.0
CambridgeHeightsElementaryCALAMLINCOLNOAKS	5.0	5.0	5.0	5	0.0
CamelliaElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
CamelliaWaldorfCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
CameronEASTBAYMUD	5.0	5.3	5.0600000000000005	5	1.0
CaminoPabloElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
CampbellMiddleSANJOSEWATERCOMPANY	0.099	0.24	0.1678	5	0.0
CampolindoHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
CanoasElementarySANJOSEWATERCOMPANY	5.0	7.5	5.5	5	1.0
CanyonCrestAcademySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CanyonViewElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
CapitalCityIndependentStudyCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
CapitolCollegiateAcademyCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
CapriElementarySANJOSEWATERCOMPANY	0.1	5.0	1.262	5	0.0
CaptainJasonMDahlElementarySANJOSEWATERCOMPANY	5.0	6.1	5.220000000000001	5	1.0
CarlBMunckElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
CarlmontHighMIDPENINSULAWATERDISTRICT	5.0	5.0	5.0	10	0.0
CarlsbadHighCARLSBADMWD	5.0	5.0	5.0	5	0.0
CarltonHillsElementaryPADREDAMMWD	5.0	5.0	5.0	5	0.0
CarltonOaksElementaryPADREDAMMWD	5.0	5.0	5.0	5	0.0
CarmelDelMarElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CarmelValleyMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CarmichaelBessieFECSFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	3	0.0
CarmichaelElementaryCARMICHAELWATERDISTRICT	5.0	6.6	5.58	5	2.0
CarnelianElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	17.0	8.757142857142856	7	4.0
CarolineHarrisElementaryCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
CarolineWenzelElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
CarpenterElementaryDOWNEYCITYWATERDEPT	5.0	8.2	6.066666666666666	3	1.0
CarriageDriveElementaryCITRUSHEIGHTSWATERDISTRICT	5.0	5.0	5.0	5	0.0
CarrilloElementaryCARLSBADMWD	5.0	5.0	5.0	5	0.0
CarrollElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
CarsonChristianSchoolGSWCSOUTHWEST	5.0	5.0	5.0	3	0.0
CarsonElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CarverElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CarverGeorgeWashingtonElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.17	5.034000000000001	5	1.0
CasaDiMirMontessoriElementarySANJOSEWATERCOMPANY	0.1	0.25	0.155	4	0.0
CasaLomaElementaryCWSBAKERSFIELD	5.0	5.0	5.0	3	0.0
CasadeOroElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
CasitaCenterforScienceMathTechnologyVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	4	0.0
CastilleroMiddleSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
CastleParkElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
CastleParkMiddleSWEETWATERAUTHORITY	5.0	11.0	6.590000000000001	5	2.0
CastleParkSeniorHighSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
CastlemontElementarySANJOSEWATERCOMPANY	0.23	1.2	0.596	5	0.0
CatherineLZaneMiddleEUREKACITYOF	1.1	5.0	2.84	5	0.0
CatherynGatesElementaryCITYOFROSEVILLE	5.0	18.0	9.166666666666666	6	2.0
CedarwoodElementaryDELOROWATERCOPARADISEPINES	1.5	6.62	3.5700000000000003	3	1.0
CentennialContinuationHighCITYOFCORNING	5.0	5.0	5.0	1	0.0
CentennialHighSchoolBAKERSFIELDCITYOF	5.0	5.0	5.0	5	0.0
CentralCoastHighMARINACOASTWATERDISTRICT	3.0	4.0	3.6666666666666665	3	0.0
CentralElementaryCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
CentralElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CentralElementarySWEETWATERAUTHORITY	5.0	10.0	6.0	5	1.0
CentralMiddleCALIFORNIAWATERSERVICESANCARLOS	5.0	5.0	5.0	2	0.0
CentralMiddleCALWATERSERVICECOOROVILLE	5.0	6.7	5.34	5	1.0
CenturyHighCITYOFALHAMBRA	5.0	5.0	5.0	3	0.0
CeresElementaryORCHARDDALEWATERDISTRICT	5.0	12.0	6.4	5	1.0
CesarChavezElementaryCITYOFDAVIS	5.0	5.0	5.0	5	0.0
CesarChavezIntermediateCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
CesarChavezMiddleOCEANSIDECITYOF	5.0	18.0	7.857142857142857	7	2.0
CesarEChavezElementaryCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
ChabotElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
ChallengerMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
ChandlerSchoolPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
ChaparralElementaryPOWAYCITYOF	5.0	5.0	5.0	5	0.0
ChaparralHighIDEACenterHELIXWATERDISTRICT	5.0	5.5	5.125	4	1.0
ChaparralHighOJAIWATERSYSTEM	5.0	5.0	5.0	1	0.0
ChapmanHeightsElementaryYUCAIPAVALLEYWATERDISTRICT	5.0	5.0	5.0	10	0.0
CharlesEMackElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
CharlesHCastleElementaryBAKERSFIELDCITYOF	5.0	5.0	5.0	4	0.0
CharlesWEliotMiddleRUBIOCANONLANDWATERASSOCIATION	5.0	5.0	5.0	10	0.0
ChaseAvenueElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
ChavezCesarElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
ChavezElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CherokeePointElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CherryChaseElementaryCITYOFSUNNYVALE	5.0	5.0	5.0	5	0.0
CherrywoodElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
ChestertonElementarySANDIEGOCITYOF	5.0	5.29	5.061999999999999	5	2.0
ChestnutHighContinuationSchoolHURONCITYOF	1.0	1.0	1.0	1	0.0
ChetFHarrittElementaryPADREDAMMWD	5.0	5.0	5.0	5	0.0
ChildsPrimaryTheSANDIEGOCITYOF	5.0	6.76	5.351999999999999	5	1.0
ChinJohnYehallElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
